Weight_KG,Zone,Service,Price_GBP
27500,2,ND,706.08
27500,3,E,677.9
27500,3,ND,721.18
27500,4,E,842.46
27500,4,ND,896.23
27500,5,E,1296.76
27500,5,ND,1379.53
27500,6,E,1960.58
27500,6,ND,2085.72
27500,7,E,2029.2
27500,7,ND,2158.73
28500,1,E,652.7
28500,1,ND,694.37
28500,2,E,680.74
28500,2,ND,724.18
28500,3,E,700.5
28500,3,ND,745.21
28500,4,E,861.6
28500,4,ND,916.6
28500,5,E,1305
28500,5,ND,1388.29
28500,6,E,1983.3
28500,6,ND,2109.91
28500,7,E,2099.35
28500,7,ND,2233.35

